Name,Runtime,Genre,IMDB,Director,Stars
The Adventure of A.R.I.: My Robot Friend,89,Family,4.3,Stephen Shimek,"Jude Manley, Sophia Alongi, Justin Phillip, Greg Lutz"
Mine de rien,85,Comedy,4.9,Mathias Mlekuz,"Arnaud Ducret, Philippe Rebbot, Mélanie Bernier, Hélène Vincent"
La Hermosa Fantasía del Propósito Final,52,"Drama, Fantasy",8.7,Iván Preuss,"Salvador Garay, Javier Sala, Borja Andía, Maite Montegrosso"
A Christmas Gift from Bob,92,Family,6.4,Charles Martin Smith,"Luke Treadaway, Anna Wilson-Jones, Kristina Tonteri-Young, Nina Wadia"
Invisibles,84,"Comedy, Drama",6.4,Gracia Querejeta,"Emma Suárez, Adriana Ozores, Nathalie Poza, Blanca Portillo"
Asking for It,81,Comedy,6.1,,"Colin Burgess, Janeane Garofalo, Hallie Haas, Stephanie Hsu"
La maldición del guapo,90,Comedy,5.0,Beda Docampo Feijóo,"Gonzalo de Castro, Juan Grandinetti, Ginés García Millán, Malena Alterio"
The Dark End of the Street,69,Drama,4.1,Kevin Tran,"Scott Friend, Brooke Bloom, Lindsay Burdge, Michael Cyril Creighton"
Hosts,89,Horror,5.2,,"Neal Ward, Nadia Lamin, Frank Jakeman, Sandra Howard-Williams"
A Feral World,104,"Drama, Sci-Fi",3.3,David Liban,"Caleb Liban, Danielle Prall, Timothy McCracken, Vivienne Bersin"
Elleville Elfrid,75,"Animation, Family, Musical",4.5,,"Cherokee Rose Castro, Gard B. Eidsvold, Jack Fisher, Jack Fisher"
Ala Vaikunthapurramuloo,163,"Action, Drama",7.1,Trivikram Srinivas,"Allu Arjun, Pooja Hegde, Tabu, Jayaram"
Naadodigal 2,136,Drama,5.0,Samuthirakani,"M. Sasikumar, Anjali, Athulya Ravi, Bharani"
Sniegu juz nigdy nie bedzie,113,"Comedy, Drama",6.1,,"Alec Utgoff, Maja Ostaszewska, Agata Kulesza, Weronika Rosati"
The E-Listers,91,Comedy,5.8,Michael Mueller,"William Tokarsky, Shekeb Sekander, Elle Matarazzo, Ashley Uecker"
Violet,89,"Drama, Horror",4.9,Samuel Vainisi,"Alyss Winkler, Jason Crowe, Ember Burns, Brian Papandrea"
Hasta que la boda nos separe,110,"Comedy, Romance",5.7,Dani de la Orden,"Belén Cuesta, Álex García, Silvia Alonso, Antonio Dechent"
Xane: The Vampire God,118,"Adventure, Drama, Fantasy",5.1,Johnny Pendragon,"Parker Boles, Jenna Farden, Robere Kazadi, Zoë Kelly"
Pandamonium,86,"Comedy, Horror",3.1,Mj Dixon,"David Hon Ma Chu, Oriana Charles, Dani Thompson, Will Jones"
Death of a Fool,84,"Adventure, Fantasy, Mystery",8.3,Ismael Gomez III,"Mario Ernesto Sánchez, Benji Leon, Gene Gabriel, Zully Montero"
Digimon Adventure: Last Evolution Kizuna,94,"Animation, Action, Adventure",7.6,Tomohisa Taguchi,"Natsuki Hanae, Yoshimasa Hosoya, Suzuko Mimori, Mutsumi Tamura"
Sala samobójców. Hejter,135,"Drama, Thriller",7.1,Jan Komasa,"Maciej Musialowski, Vanessa Aleksander, Danuta Stenka, Jacek Koman"
About a Teacher,112,Drama,8.8,Hanan Harchol,"Dov Tiefenbach, Tibor Feldman, Kate Eastman, Aurora Leonard"
